sku_id,product_name,category,warehouse,quantity,min_stock,max_stock,unit_cost,supplier,last_updated
SKU001, 华为Mate60 ,手机,北京仓,500,100,1000,3999,华为技术,2023-12-01
SKU002,iPhone 15 Pro,手机 ,上海仓,300,50,800,7999,苹果中国,2023/12/02
SKU003,小米14,手机,广州仓,0,100,1000,2999,小米科技,2023.12.03
SKU004,OPPO Find X7,手机,深圳仓,200,50,500,3499,OPPO广东,2023年12月4日
SKU001, 华为Mate60 ,手机,北京仓,500,100,1000,3999,华为技术,2023-12-01
SKU005,联想ThinkPad X1,笔记本电脑,北京仓,null,20,200,9999,联想中国,1701734400
SKU006,戴尔XPS 15,笔记本电脑,上海仓,150,30,300,8999,戴尔中国,2023-12-06
SKU007,苹果MacBook Pro, 笔记本电脑 ,深圳仓,80,10,100,12999,苹果中国,2023-12-07
SKU008,罗技MX Master,鼠标,北京仓,1000,200,2000,299,罗技科技,2023-12-08
SKU009,雷蛇黑寡妇,键盘,上海仓,-50,50,500,599,雷蛇中国,2023-12-09
SKU010,索尼WH-1000XM5,耳机,广州仓,300,50,800,1999,索尼中国,2023-12-10
SKU011,"三星
4K显示器",显示器,深圳仓,100,20,300,2999,三星中国,2023-12-11
SKU012,佳能EOS R5,相机,北京仓,50,10,100,19999,佳能中国,2023-12-12
SKU013,尼康Z7 II,相机,上海仓,abc,10,100,17999,尼康中国,2023-12-13
SKU014,大疆Mavic 3,无人机,广州仓,30,5,50,9999,大疆创新,2023-12-14
SKU015,Switch OLED,游戏机,深圳仓,500,100,99999,1999,任天堂中国,2023-12-15
SKU016,华为Watch GT4,手表,北京仓,800,200,1500,1299,华为技术,2023-12-16
SKU007,苹果MacBook Pro, 笔记本电脑 ,深圳仓,80,10,100,12999,苹果中国,2023-12-07
SKU017,小米手环8,智能穿戴,上海仓,2000,500,5000,199,小米科技,2023-12-17
SKU018,AirPods Pro 2,,广州仓,1500,300,3000,1499,苹果中国,2023-12-18
SKU019,iPad Air 5,平板,深圳仓,400,100,800,3999,苹果中国,2023-12-19
SKU020,Surface Pro 9,平板,北京仓,100,20,200,6999,微软中国,2023-12-20
